,train_name,train_number,source,destination,distance,total_time,departure,arrival
853,Chennai - Mangalore Express,12685,CHENNAI CENTRAL,MANGALORE CNTL,889,0 days 16:05:00,17:00:00,09:05:00
854,Mangalore - Chennai Express,12686,MANGALORE CNTL,CHENNAI CENTRAL,889,0 days 15:50:00,16:10:00,08:00:00
855,Chennai Dehradun Express,12687,CHENNAI CENTRAL,DEHRADUN,2488,1 days 19:15:00,09:45:00,05:00:00
856,Dehradun Chennai Express,12688,DEHRADUN,CHENNAI CENTRAL,2488,1 days 18:55:00,07:20:00,02:15:00
857,NAGERCOIL - CHENNAI SF Exp,12690,NAGERCOIL JN,CHENNAI CENTRAL,927,0 days 16:45:00,19:40:00,12:25:00
858,CHENNAI - SSP NILAYAM SF Exp,12691,CHENNAI CENTRAL,SATYA SAI P NILAYAM,529,0 days 09:50:00,23:30:00,09:20:00
859,SSP NILAYAM - CHENNAI SF Exp,12692,SATYA SAI P NILAYAM,CHENNAI CENTRAL,529,0 days 10:30:00,18:45:00,05:15:00
860,CHENNAI EGMORE - TUTICORIN Pearl City SF Exp,12693,CHENNAI EGMORE,TUTICORIN,656,0 days 11:55:00,19:35:00,07:30:00
861,TUTICORIN - CHENNAI EGMORE Pearl City SF Exp,12694,TUTICORIN,CHENNAI EGMORE,656,0 days 11:55:00,19:45:00,07:40:00
862,Guntur-Secunderabad SF Intercity,12705,GUNTUR JN,SECUNDERABAD JN,383,0 days 06:50:00,15:00:00,21:50:00
863,Secunderabad-Guntur SF Intercity,12706,SECUNDERABAD JN,GUNTUR JN,383,0 days 06:45:00,07:40:00,14:25:00
864,Sachkhand SF Express,12716,AMRITSAR JN,HUZUR SAHIB NANDED,2081,1 days 10:10:00,05:40:00,15:50:00
865,AJMER - HYDERABAD DECCAN SF Exp,12719,AJMER JN,HYDERABAD DECCAN,1711,1 days 06:50:00,17:40:00,00:30:00
866,HYDERABAD DECCAN - AJMER SF Exp,12720,HYDERABAD DECCAN,AJMER JN,1711,1 days 06:35:00,20:30:00,03:05:00
867,Siddhaganga Intercity Express,12725,BANGALORE CITY JN,DHARWAR,490,0 days 08:50:00,13:00:00,21:50:00
868,Siddhaganga InterCity Express,12726,DHARWAR,BANGALORE CITY JN,490,0 days 08:50:00,05:15:00,14:05:00
869,Tirupati-Secunderabad Express,12731,TIRUPATI MAIN,SECUNDERABAD JN,801,0 days 14:15:00,16:45:00,07:00:00
870,Secunderabad-Tirupati Express,12732,SECUNDERABAD JN,TIRUPATI MAIN,801,0 days 14:30:00,19:00:00,09:30:00
871,Narayanadri Express,12733,TIRUPATI MAIN,SECUNDERABAD JN,661,0 days 12:00:00,18:25:00,06:25:00
872,Narayanadri Express,12734,SECUNDERABAD JN,TIRUPATI MAIN,661,0 days 12:00:00,18:05:00,06:05:00
873,Gowthami SF Express,12737,Kakinada Port,SECUNDERABAD JN,566,0 days 10:15:00,20:20:00,06:35:00
874,Secunderabad - Kakinada Gowthami SF Express,12738,SECUNDERABAD JN,Kakinada Port,566,0 days 10:15:00,21:15:00,07:30:00
875,Secunderabad-Visakhapatnam Garib Rath,12740,SECUNDERABAD JN,VISHAKAPATNAM,701,0 days 11:15:00,20:15:00,07:30:00
876,VASCO DA GAMA - PATNA SF Exp,12741,VASCO DA GAMA,PATNA JN,2419,1 days 17:00:00,19:10:00,12:10:00
877,PATNA - VASCO DA GAMA SF Exp,12742,PATNA JN,VASCO DA GAMA,2419,1 days 18:55:00,14:00:00,08:55:00
878,Palnadu Express,12747,GUNTUR JN,VIKARABAD JN,353,0 days 06:25:00,05:45:00,12:10:00
879,Palnadu Express,12748,VIKARABAD JN,GUNTUR JN,353,0 days 06:15:00,13:45:00,20:00:00
880,Mumbai LTT-Visakhapatnam SF Express,12750,LOKMANYA TILAK TERM,VISHAKAPATNAM,1502,1 days 02:20:00,12:25:00,14:45:00
881,Manuguru-Secunderabad Tri Weekly SF Express,12751,Manuguru,SECUNDERABAD JN,331,0 days 06:00:00,21:45:00,03:45:00
882,Secunderabad-Manuguru SF Express,12752,SECUNDERABAD JN,Manuguru,331,0 days 06:00:00,23:45:00,05:45:00
883,Chennai-NewJalpaiguri SF Express,12753,CHENNAI CENTRAL,NEW JALPAIGURI,2257,1 days 16:45:00,11:00:00,03:45:00
884,New Jalpaiguri-Chennai SF Express,12754,NEW JALPAIGURI,CHENNAI CENTRAL,2257,1 days 16:55:00,22:00:00,14:55:00
885,Padmavati Express,12763,TIRUPATI MAIN,SECUNDERABAD JN,737,0 days 12:50:00,17:00:00,05:50:00
886,Padmavati Express,12764,SECUNDERABAD JN,TIRUPATI MAIN,737,0 days 12:30:00,18:30:00,07:00:00
887,HUBLI - TRIVANDRUM KOCHUVELI SF Exp,12777,HUBLI JN,KOCHUVELI,1307,0 days 23:40:00,06:50:00,06:30:00
